2019,CASENUM,Fatality,DUI_Vio,Speed_Vio,Restraint_Vio,Pandemic,Urban,Rollover,SurfaceCond,MONTH
2019,201901196818,0,1,0,0,0,1,0,0,1
2019,201901196835,0,0,0,0,0,0,0,0,1
2019,201901196849,0,0,0,0,0,1,0,0,1
2019,201901196914,0,0,0,0,0,1,0,0,1
2019,201901196925,0,0,0,0,0,1,0,0,1
2019,201901196935,0,0,0,0,0,1,1,1,1
2019,201901196988,0,0,0,0,0,1,0,0,1
2019,201901196999,0,0,0,0,0,1,0,0,1
2019,201901197026,0,0,0,0,0,1,0,0,1
2019,201901197177,0,0,0,0,0,1,0,0,1
2019,201901197186,0,0,0,0,0,1,0,0,1
2019,201901197236,0,0,0,0,0,1,0,0,1
2019,201901197257,0,0,0,0,0,1,0,0,1
2019,201901197333,0,0,0,0,0,1,0,0,1
2019,201901197353,0,0,0,0,0,1,0,0,1
2019,201901197412,0,0,0,0,0,1,0,0,1
2019,201901197422,0,0,0,0,0,1,0,0,1
2019,201901197428,0,0,0,0,0,0,0,1,1
2019,201901197430,0,0,0,0,0,0,0,0,1
2019,201901197457,0,0,0,0,0,1,0,0,1
2019,201901197467,0,0,0,0,0,1,0,0,1
2019,201901197475,1,0,0,0,0,1,1,0,1
2019,201901197478,0,0,0,0,0,1,0,0,1
2019,201901197482,0,0,0,0,0,1,0,0,1
2019,201901197505,0,0,0,0,0,1,0,0,1
2019,201901197511,0,0,0,0,0,1,0,0,1
2019,201901197514,0,0,0,0,0,1,1,0,1
2019,201901197532,0,0,0,0,0,1,0,0,1
2019,201901197603,0,0,0,0,0,1,0,0,1
2019,201901197615,0,0,0,0,0,1,0,1,1
2019,201901197625,0,0,0,0,0,1,0,1,1
2019,201901197629,0,1,0,0,0,1,0,0,1
2019,201901197645,0,0,0,0,0,0,0,0,1
2019,201901197667,0,0,0,0,0,1,0,0,1
2019,201901197767,0,0,0,0,0,1,0,0,1
2019,201901197812,0,0,0,0,0,1,0,0,1
2019,201901197816,0,0,0,1,0,1,0,0,1
2019,201901197845,0,0,0,0,0,1,0,0,1
2019,201901197854,0,0,0,0,0,1,0,0,1
2019,201901197893,0,0,0,0,0,1,0,1,1
2019,201901197926,0,0,0,0,0,1,0,0,1
2019,201901197953,0,0,0,0,0,1,0,1,1
2019,201901197965,0,0,0,0,0,1,0,0,1
